For M5|Adr    50|KD1      B16      09:55:461    |Rz        1.69189 m   |HD         18.183 m   |Z         9.94722 m   | 
For M5|Adr    51|KD1      B17      09:55:581    |Rz        1.77927 m   |HD         18.161 m   |Z         9.85984 m   | 
For M5|Adr    52|KD1      B18      09:56:121    |Rz        1.68063 m   |HD         18.977 m   |Z         9.95848 m   | 
For M5|Adr    53|KD1      B19      09:56:261    |Rz        1.68370 m   |HD         19.711 m   |Z         9.95541 m   | 
For M5|Adr    54|KD1       C1      09:57:221    |Rz        1.67955 m   |HD         14.247 m   |Z         9.95956 m   | 
For M5|Adr    55|KD1       C2      09:57:341    |Rz        1.68346 m   |HD         14.678 m   |Z         9.95565 m   | 
For M5|Adr    56|KD1       C3      09:57:431    |Rz        1.67317 m   |HD         12.331 m   |Z         9.96594 m   | 
For M5|Adr    57|KD1       C4      09:57:551    |Rz        1.68411 m   |HD         12.814 m   |Z         9.95500 m   | 
For M5|Adr    58|KD1       C5      09:58:111    |Rz        1.66633 m   |HD          9.481 m   |Z         9.97278 m   | 
For M5|Adr    59|KD1       C6      09:58:201    |Rz        1.67335 m   |HD         10.130 m   |Z         9.96576 m   | 
For M5|Adr    60|KD1       C7      09:58:311    |Rz        1.67929 m   |HD          6.766 m   |Z         9.95982 m   | 
For M5|Adr    61|KD1       C8      09:58:441    |Rz        1.68201 m   |HD          7.635 m   |Z         9.95710 m   | 
For M5|Adr    62|KD1       C9      09:58:551    |Rz        1.68481 m   |HD          5.526 m   |Z         9.95430 m   | 
For M5|Adr    63|KD1      C10      09:59:241    |Rz        1.68292 m   |HD          4.452 m   |Z         9.95619 m   | 
For M5|Adr    64|KD1      C11      09:59:391    |Rz        1.67721 m   |HD          5.692 m   |Z         9.96190 m   | 
For M5|Adr    65|KD1      C12      09:59:541    |Rz        1.67628 m   |HD          3.684 m   |Z         9.96283 m   | 
For M5|Adr    66|KD1      C13      10:00:041    |Rz        1.67883 m   |HD          3.450 m   |Z         9.96028 m   | 
For M5|Adr    67|KD1      C14      10:00:161    |Rz        1.67145 m   |HD          4.942 m   |Z         9.96766 m   | 
For M5|Adr    68|KD1      C15      10:00:311    |Rz        1.68160 m   |HD          3.821 m   |Z         9.95751 m   | 
For M5|Adr    69|KD1      C16      10:00:431    |Rz        1.68552 m   |HD          4.666 m   |Z         9.95359 m   | 
For M5|Adr    70|KD1      C17      10:00:571    |Rz        1.68245 m   |HD          5.870 m   |Z         9.95666 m   | 
For M5|Adr    71|KD1      C18      10:01:071    |Rz        1.68525 m   |HD          5.793 m   |Z         9.95386 m   | 
For M5|Adr    72|KD1      C19      10:01:191    |Rz        1.68746 m   |HD          7.043 m   |Z         9.95165 m   | 
For M5|Adr    73|KD1      C20      10:01:311    |Rz        1.67542 m   |HD          7.891 m   |Z         9.96369 m   | 
For M5|Adr    74|KD1      C21      10:01:421    |Rz        1.68918 m   |HD          8.387 m   |Z         9.94993 m   | 
For M5|Adr    75|KD1      C22      10:01:531    |Rz        1.68608 m   |HD          9.780 m   |Z         9.95303 m   | 
For M5|Adr    76|KD1      C23      10:02:031    |Rz        1.67603 m   |HD         10.400 m   |Z         9.96308 m   | 
For M5|Adr    77|KD1      C24      10:02:151    |Rz        1.68357 m   |HD         11.195 m   |Z         9.95554 m   | 
For M5|Adr    78|KD1      C25      10:02:331    |Rz        1.68245 m   |HD         12.628 m   |Z         9.95666 m   | 
For M5|Adr    79|KD1      C26      10:02:411    |Rz        1.66781 m   |HD         13.083 m   |Z         9.97130 m   | 
For M5|Adr    80|KD1      C27      10:02:541    |Rz        1.68280 m   |HD         14.072 m   |Z         9.95631 m   | 
For M5|Adr    81|KD1      C28      10:03:051    |Rz        1.68322 m   |HD         15.523 m   |Z         9.95589 m   | 
For M5|Adr    82|KD1      C29      10:03:161    |Rz        1.67563 m   |HD         15.944 m   |Z         9.96348 m   | 
For M5|Adr    83|KD1       D1      10:04:151    |Rz        1.68294 m   |HD          5.930 m   |Z         9.95617 m   | 
For M5|Adr    84|KD1       D2      10:04:251    |Rz        1.67986 m   |HD          7.008 m   |Z         9.95925 m   | 
For M5|Adr    85|KD1       D3      10:04:341    |Rz        1.68383 m   |HD          5.452 m   |Z         9.95528 m   | 
For M5|Adr    86|KD1       D4      10:04:421    |Rz        1.68206 m   |HD          6.606 m   |Z         9.95705 m   | 
For M5|Adr    87|KD1       D5      10:04:541    |Rz        1.69377 m   |HD          5.001 m   |Z         9.94534 m   | 
For M5|Adr    88|KD1       D6      10:05:031    |Rz        1.69349 m   |HD          6.238 m   |Z         9.94562 m   | 
For M5|Adr    89|KD1       D7      10:05:161    |Rz        1.69248 m   |HD          4.963 m   |Z         9.94663 m   | 
For M5|Adr    90|KD1       D8      10:05:251    |Rz        1.68553 m   |HD          6.212 m   |Z         9.95358 m   | 
For M5|Adr    91|KD1       D9      10:05:351    |Rz        1.68778 m   |HD          5.373 m   |Z         9.95133 m   | 
For M5|Adr    92|KD1      D10      10:05:581    |Rz        1.67298 m   |HD          6.539 m   |Z         9.96613 m   | 
For M5|Adr    93|KD1      D11      10:06:081    |Rz        1.68815 m   |HD          6.125 m   |Z         9.95096 m   | 
For M5|Adr    94|KD1      D12      10:06:171    |Rz        1.67422 m   |HD          7.177 m   |Z         9.96489 m   | 
For M5|Adr    95|KD1      D13      10:06:261    |Rz        1.68429 m   |HD          7.125 m   |Z         9.95482 m   | 
For M5|Adr    96|KD1      D14      10:06:351    |Rz        1.67650 m   |HD          8.034 m   |Z         9.96261 m   | 
For M5|Adr    97|KD1      D15      10:06:451    |Rz        1.68525 m   |HD          8.262 m   |Z         9.95386 m   | 
For M5|Adr    98|KD1      D16      10:06:551    |Rz        1.67819 m   |HD          9.074 m   |Z         9.96092 m   | 
For M5|Adr    99|KD1      D17      10:07:061    |Rz        1.68512 m   |HD          9.518 m   |Z         9.95399 m   | 
For M5|Adr   100|KD1      D18      10:07:151    |Rz        1.66965 m   |HD         10.224 m   |Z         9.96946 m   | 
For M5|Adr   101|KD1      D19      10:07:281    |Rz        1.67390 m   |HD         10.820 m   |Z         9.96521 m   | 
For M5|Adr   102|KD1      D20      10:07:391    |Rz        1.67197 m   |HD         11.454 m   |Z         9.96714 m   | 
For M5|Adr   103|KD1      D21      10:07:501    |Rz        1.66667 m   |HD         12.182 m   |Z         9.97244 m   | 
For M5|Adr   104|KD1      D22      10:08:001    |Rz        1.65821 m   |HD         12.746 m   |Z         9.98090 m   | 
For M5|Adr   105|TO  Fin de punteria int.       |                      |                      |                      | 
