100,687039.019,4226490.848,11.550,59&1
101,687040.285,4226486.990,11.556,59&1
102,687034.315,4226484.982,11.467,59&1
103,687037.536,4226475.147,11.456,59&1
104,687041.432,4226463.149,11.397,59&1
105,687046.073,4226448.860,11.369,59&1
106,687049.544,4226438.160,11.384,59&1@AS
107,687050.880,4226434.672,11.388,59&1
108,687053.079,4226430.977,11.395,59&1
109,687055.569,4226427.928,11.405,59&1
110,687058.405,4226425.440,11.413,59&1
111,687061.218,4226423.618,11.439,59&1
112,687063.567,4226422.451,11.464,59&1
113,687066.404,4226421.428,11.469,59&1@AE
114,687077.421,4226424.920,11.553,59&1
115,687076.498,4226426.166,11.540,DEF&1
116,687076.296,4226426.802,11.539,DEF&1@F
117,687076.743,4226426.619,11.541,BAJ
118,687073.813,4226427.293,11.520,54&1
119,687073.418,4226428.505,11.517,54&1
120,687074.227,4226431.851,11.533,PLACAS&1
121,687073.755,4226431.692,11.531,PLACAS&1
122,687073.641,4226432.029,11.531,PLACAS&1
123,687072.775,4226434.707,11.529,PLACAS&1
124,687072.672,4226435.045,11.527,PLACAS&1
125,687071.995,4226437.117,11.530,PLACAS&1
126,687071.885,4226437.454,11.528,PLACAS&1
127,687071.005,4226440.141,11.527,PLACAS&1
128,687070.900,4226440.475,11.529,PLACAS&1
129,687070.505,4226441.706,11.527,PLACAS&1
130,687070.403,4226442.039,11.529,PLACAS&1
131,687069.524,4226444.722,11.534,PLACAS&1
132,687069.411,4226445.052,11.533,PLACAS&1
133,687069.001,4226446.337,11.532,PLACAS&1
134,687068.890,4226446.672,11.532,PLACAS&1
135,687068.031,4226449.329,11.531,PLACAS&1
136,687067.920,4226449.668,11.532,PLACAS&1
137,687067.513,4226450.861,11.529,PLACAS&1
138,687067.413,4226451.192,11.529,PLACAS&1
139,687066.532,4226453.894,11.529,PLACAS&1
140,687066.427,4226454.228,11.526,PLACAS&1
141,687065.951,4226455.694,11.526,PLACAS&1
142,687065.841,4226456.018,11.524,PLACAS&1
143,687064.969,4226458.721,11.525,PLACAS&1
144,687064.859,4226459.056,11.527,PLACAS&1
145,687063.277,4226459.612,11.522,54&1
146,687062.898,4226460.811,11.519,54&1@F
147,687064.031,4226461.618,11.529,PLACAS&1
148,687063.922,4226461.950,11.530,PLACAS&1
149,687063.039,4226464.636,11.529,PLACAS&1
150,687062.927,4226464.974,11.527,PLACAS&1
151,687062.722,4226465.613,11.531,PLACAS&1
152,687062.613,4226465.946,11.529,PLACAS&1
153,687061.740,4226468.644,11.536,PLACAS&1
154,687061.628,4226468.978,11.532,PLACAS&1
155,687061.333,4226469.904,11.535,PLACAS&1
156,687061.225,4226470.233,11.534,PLACAS&1
157,687060.344,4226472.929,11.531,PLACAS&1
158,687060.237,4226473.264,11.531,PLACAS&1
159,687059.949,4226474.155,11.534,PLACAS&1
160,687059.845,4226474.481,11.531,PLACAS&1
161,687058.963,4226477.180,11.534,PLACAS&1
162,687058.854,4226477.506,11.528,PLACAS&1
163,687058.666,4226478.115,11.523,PLACAS&1
164,687058.555,4226478.445,11.524,PLACAS&1
165,687057.683,4226481.125,11.528,PLACAS&1
166,687057.565,4226481.460,11.526,PLACAS&1
167,687057.277,4226482.372,11.527,PLACAS&1
168,687057.169,4226482.705,11.527,PLACAS&1
169,687056.283,4226485.398,11.530,PLACAS&1
170,687056.174,4226485.737,11.531,PLACAS&1
171,687056.031,4226486.203,11.532,PLACAS&1
172,687055.916,4226486.550,11.530,PLACAS&1
173,687055.034,4226489.244,11.533,PLACAS&1
174,687054.932,4226489.572,11.533,PLACAS&1
175,687055.416,4226489.724,11.533,PLACAS&1@F
176,687055.486,4226491.396,11.539,ARM
177,687053.223,4226495.743,12.959,54&2
178,687054.336,4226496.106,12.972,54&2
179,687051.488,4226497.319,11.522,FE&1@CE
180,687051.152,4226497.571,11.522,FE&1
181,687051.237,4226496.923,11.523,FE&1@F
182,687055.187,4226491.861,11.537,59&1
183,687046.613,4226489.064,11.540,59&1
184,687048.576,4226486.482,11.514,FE&2@CE
185,687048.422,4226486.008,11.517,FE&2
186,687048.951,4226485.958,11.517,FE&2@F
187,687054.560,4226487.613,11.533,AP&1
188,687054.847,4226486.674,11.530,AP&1
189,687055.791,4226486.961,11.531,AP&1
190,687055.501,4226487.917,11.530,AP&1@C@F
191,687049.285,4226482.067,11.538,PLV&1
192,687048.921,4226481.944,11.537,PLV&1
193,687049.045,4226481.576,11.537,PLV&1
